OrderNumber,OrderDate,ItemID,Seller,ItemName,ItemPrice,Currency,Quantity,OrderTotal,OrderNotes,TrackingNumber,Image,View Order Detail
20-13932-55705,"Dec 08, 2025",147018293344,3r_technology_solutions,Dell Latitude 5490 Intel Core(TM) i7-8650U CPU 1.90GHz-16GB RAM-256GB SSD-NO OS,90.0,USD,1,US $90.00,,,https://i.ebayimg.com/images/g/oZUAAeSw0FJpNxxf/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=147018293344&txnId=10076888585120&txnDate=2025-12-09T01:11:34Z
20-13916-04366,"Dec 05, 2025",284934615548,emergentsx,"Dell 1224N Broadcom 57416 2x 1GbE, 2x 10GBASE-T RJ45 Network Daughter Card",84.0,USD,7,US $84.00,,,https://i.ebayimg.com/images/g/RIMAAeSwA1BpH9vF/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=284934615548&txnId=10076793800020&txnDate=2025-12-05T17:30:12Z
22-13910-82879,"Dec 04, 2025",177554307137,chrismarcellino,"Dell 1224N BROADCOM 57416 2x 10GbE, 2x 1GbE Quad Port Network Daughter Card",8.0,USD,1,US $8.00,,,https://i.ebayimg.com/images/g/aZgAAeSwdfFpDVco/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=177554307137&txnId=10077043404122&txnDate=2025-12-05T03:42:10Z
07-13931-57725,"Dec 04, 2025",297770678474,toyarcade,Dell PowerEdge R330 Intel Xeon E3-1220V5 @ 3.00 GHz 8GB NO HDD NO OS,200.0,USD,2,US $200.00,,,https://i.ebayimg.com/images/g/ICMAAeSw~EVpG525/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=297770678474&txnId=10081890120207&txnDate=2025-12-05T01:54:17Z
22-13903-29232,"Dec 03, 2025",227004422901,blindcenternv,Intel Xeon E5-2660 V4 SR2N4 2.0GHz 35 MB FCLGA2011 Server Processor (Lot of 26),111.0,USD,1,US $111.00,,,https://i.ebayimg.com/images/g/IZ8AAeSwI1Fo3aAg/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=227004422901&txnId=10077001000922&txnDate=2025-12-03T16:20:23Z
22-13903-01669,"Dec 03, 2025",187805406195,surplusspectra,Dell Inspiron 3910 Core i5 12400 2.50GHz 8GB 512GB Win11Pro,184.79,USD,1,US $184.79,,,https://i.ebayimg.com/images/g/voYAAeSwZO9pIJ86/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=187805406195&txnId=10076999531022&txnDate=2025-12-03T15:19:01Z
23-13901-39121,"Dec 03, 2025",187753684159,psamuel,"Dell PowerEdge VXRail P570F 24x SFF CTO Server with 2x HS, 2x PSUs ***Grade B",199.99,USD,1,US $199.99,,,https://i.ebayimg.com/images/g/RBEAAeSwtNppHKC5/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=187753684159&transaction_id=10076951172823
09-13920-62946,"Dec 03, 2025",197918400564,mclean-surplus,Dell XPS 8930 Desktop Intel Core i7-8700 3.2GHz 16GB RAM NO HDD NO OS Good,144.17,USD,1,US $144.17,,,https://i.ebayimg.com/images/g/tdgAAeSwIolpL4pJ/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=197918400564&txnId=10077644744114&txnDate=2025-12-03T12:10:56Z
04-13926-13083,"Dec 02, 2025",127538944549,wazno,MSI Gaming GeForce RTX 3070 8GB Ventus 2X OC LHR,219.99,USD,1,US $219.99,,,https://i.ebayimg.com/images/g/9WkAAOSww0RnYFz9/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=127538944549&txnId=10077310775304&txnDate=2025-12-03T03:08:55Z
27-13894-13884,"Dec 02, 2025",177612987467,reuseitjax,"HP PAVILION DESKTOP TP01-0034 i7-8700 @ 3.2GHz, 16GB RAM, NO HDD/OS",150.0,USD,1,US $150.00,,,https://i.ebayimg.com/images/g/zHUAAeSwtGxpJdYx/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=177612987467&txnId=10080916695927&txnDate=2025-12-03T02:48:18Z
18-13901-02940,"Dec 01, 2025",236502258068,technerd771,NVIDIA GeForce RTX 3060 Ti Founders Edition 8GB GDDR6 Graphics Card,227.6,USD,1,US $227.60,,,https://i.ebayimg.com/images/g/JP0AAeSwDXRpLheS/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=236502258068&txnId=10080608661318&txnDate=2025-12-02T00:31:30Z
27-13888-20037,"Dec 01, 2025",116907632015,wazno,Dell NVIDIA GeForce RTX 4060 8GB Gaming Graphics Card,239.99,USD,1,US $239.99,,,https://i.ebayimg.com/images/g/nKAAAeSwKRlpLdNC/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=116907632015&txnId=10080883511427&txnDate=2025-12-01T22:35:14Z
01-13910-89749,"Nov 28, 2025",116836924549,wazno,DELL AMD  Radeon RX 5700  8GB GDDR6 Graphics Card,119.99,USD,1,US $119.99,,,https://i.ebayimg.com/images/g/cPsAAOSwNhpkHJMd/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=116836924549&txnId=10076710128601&txnDate=2025-11-29T04:56:48Z
05-13904-91989,"Nov 28, 2025",357959873403,az_warehouse,HP ProBook 440 G5  Intel Core i5-8250u 1.6GHz 4GB Ram No HDD,221.72,USD,4,US $166.29,,,https://i.ebayimg.com/images/g/GG8AAeSwpcppKhfE/s-l500.jpg,https://www.ebay.com/sch/sis.html?_nkw=HP+ProBook+440+G5++Intel+Core+i5-8250u+1.6GHz+4GB+Ram+No+HDD&_id=357959873403&
27-13869-42870,"Nov 27, 2025",357947798685,az_warehouse,LENOVO V50S-071MB Intel i7-10700 2.9GHZ 16GB Ram 500GB SSD Win11P,248.15,USD,1,US $248.15,,,https://i.ebayimg.com/images/g/DzkAAeSwrEdpJhs0/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=357947798685&txnId=10080775521527&txnDate=2025-11-28T04:21:21Z
22-13875-12079,"Nov 27, 2025",297762155763,returnofthelivingtech,Lot of 22 Samsung 960 EVO 250GB NVME SSD,300.0,USD,1,US $300.00,,,https://i.ebayimg.com/images/g/MHAAAeSwTaFpF4mb/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=297762155763&txnId=10076840196022&txnDate=2025-11-27T21:34:15Z
07-13895-89570,"Nov 27, 2025",357947803544,az_warehouse,Lenovo ThinkPad E595 Ryzen 5 3500U 2.10GHZ 8GB Ram 256GB SSD Win11P,560.95,USD,5,US $500.95,,,https://i.ebayimg.com/images/g/O~kAAeSwSldpJMla/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=357947803544&txnId=10081686956007&txnDate=2025-11-27T20:08:58Z
11-13887-19676,"Nov 26, 2025",357950670751,az_warehouse,DELL Inspiron 7472 Intel Core i7-8550U 8GB RAM 256Gb SSD Win10 NON-Touch Screen,200.0,USD,2,US $200.00,,,https://i.ebayimg.com/images/g/M8sAAeSwjVBpJxT6/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=357950670751&txnId=10077542473711&txnDate=2025-11-27T01:04:28Z
11-13887-18326,"Nov 26, 2025",187780779945,surplusspectra,Lot of 10 Dell Mixed Model Type-C 65W Laptop Charger Adapter OEM,184.47,USD,3,US $184.47,,,https://i.ebayimg.com/images/g/ki4AAeSwSilouHM9/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=187780779945&txnId=10077542387011&txnDate=2025-11-27T00:59:46Z
25-13867-75329,"Nov 26, 2025",384786545126,toolshop002,5pcs Generic high Profile Brackets for Intel X520-DA2 X520-SR2 X520-LR2 X710-DA2,9.59,USD,1,US $9.59,,,https://i.ebayimg.com/images/g/ymIAAOSw~iFjRi2e/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=384786545126&txnId=10076398277525&txnDate=2025-11-27T00:52:53Z
03-13894-60621,"Nov 25, 2025",315020211944,fanxiang-online-store,Fanxiang NVMe M.2 SSD 512GB 1TB 2TB 4TB PCIe Gen3 Internal Solid State Drive LOT,233.99,USD,1,US $187.19,,,https://i.ebayimg.com/images/g/cIoAAOSwza1nGJuJ/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=315020211944&txnId=10077432557403&txnDate=2025-11-26T06:15:48Z
03-13894-60622,"Nov 25, 2025",315050898343,fanxiang-online-store,Fanxiang M.2 SATA SSD 2TB 1TB 512GB 256GB M2 2280 Internal Solid State Drive Lot,133.97,USD,2,US $107.57,,,https://i.ebayimg.com/images/g/6cAAAOSwAfNleBpa/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=315050898343&txnId=10077432557503&txnDate=2025-11-26T06:15:45Z
15-13876-12317,"Nov 25, 2025",405214055444,jb-electronic,Dell 2FKY9 PowerEdge R430 Standard Heatsink,10.95,USD,1,US $10.95,,,https://i.ebayimg.com/images/g/RwYAAOSwOn9m25pv/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=405214055444&txnId=10077426385015&txnDate=2025-11-25T20:11:40Z
01-13896-15514,"Nov 25, 2025",167925195246,trustedtechparts,Dell 2FKY9 PowerEdge R430 Standard Heatsink,9.0,USD,1,US $9.00,,,https://i.ebayimg.com/images/g/akQAAeSwUNdpFYvN/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=167925195246&txnId=10076626416701&txnDate=2025-11-25T20:10:49Z
02-13891-28830,"Nov 24, 2025",116375002658,wazno,[ BULK LOT of 10] M.2 500GB SSD Various SAMSUNG HYNIX SANDISK TOSHIBA etc.,239.99,USD,1,US $239.99,,,https://i.ebayimg.com/images/g/LY4AAOSwsINlQoUp/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=116375002658&txnId=10076806760502&txnDate=2025-11-25T02:31:08Z
17-13870-05257,"Nov 24, 2025",126040715848,wazno,[ BULK LOT of 10] NVMe 1TB SSD SAMSUNG HYNIX SANDISK TOSHIBA WD,439.99,USD,1,US $439.99,,,https://i.ebayimg.com/images/g/cEcAAOSw0qJllJyP/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=126040715848&txnId=10077403267517&txnDate=2025-11-25T02:27:28Z
14-13864-33084,"Nov 22, 2025",374564356756,minnesotacomputers,Dell  HBA330 12Gb/s Controller Card Dell P/N: 0P2R3R Tested Working,14.99,USD,1,US $14.99,,,https://i.ebayimg.com/images/g/qt8AAOSwMsNkEMRK/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=374564356756&txnId=10077337975714&txnDate=2025-11-22T22:41:04Z
23-13851-49421,"Nov 22, 2025",227097043218,abidan323,"HP ProBook 450 G7 15.6"" 512GB i5-10210U WIN11P, Silver",202.07,USD,1,US $182.07,,,https://i.ebayimg.com/images/g/5cUAAeSwlURpIhet/s-l500.jpg,https://www.ebay.com/sch/sis.html?_nkw=HP+ProBook+450+G7+15.6%22+512GB+i5-10210U+WIN11P%2C%C2%A0Silver&_id=227097043218&
21-13853-83396,"Nov 22, 2025",177603038763,alameda-pc-parts,Lot of (19) x 256GB M.2 SSD NVME & SATA MIXED BRANDS - WIPED TESTED,228.0,USD,1,US $228.00,,,https://i.ebayimg.com/images/g/At0AAeSw4cVpIhpF/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=177603038763&txnId=10081628321021&txnDate=2025-11-22T20:31:27Z
10-13866-69955,"Nov 21, 2025",357924840077,az_warehouse,"Dell PowerEdge R520 8 x 3.5"" Server E5-2440 2.4 GHz 8GB RAM - NO HDDs",100.0,USD,1,US $100.00,,,https://i.ebayimg.com/images/g/5X4AAeSwJJZpHihN/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=357924840077&txnId=10077354985610&txnDate=2025-11-22T04:08:00Z
22-13849-61923,"Nov 21, 2025",357927949997,az_warehouse,"HP ProBook 450 G9 15"" FHD I7-1255U 512GB SSD 16GB W11P",280.0,USD,1,US $0.00,,,https://i.ebayimg.com/images/g/bnsAAeSwDG1pG1E3/s-l500.jpg,https://www.ebay.com/sch/sis.html?_nkw=HP+ProBook+450+G9+15%22+FHD+I7-1255U+512GB+SSD+16GB+W11P&_id=357927949997&
26-13844-02438,"Nov 21, 2025",357925318299,az_warehouse,"Lenovo ThinkPad E590 15.6"" Intel i7-8565U 8GB DDR4 256GB SSD Windows 11 Pro",115.0,USD,1,US $115.00,,,https://i.ebayimg.com/images/g/BdwAAeSw5appHQ8p/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=357925318299&txnId=10076269252626&txnDate=2025-11-22T00:54:12Z
20-13852-31276,"Nov 21, 2025",357933503307,az_warehouse,Lot Of  17 Netgear ProSafe GS105 v5  (with Power Supply),129.99,USD,1,US $129.99,,,https://i.ebayimg.com/images/g/0gEAAeSwYbdpIITU/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=357933503307&txnId=10076430650920&txnDate=2025-11-22T00:42:00Z
03-13874-94410,"Nov 21, 2025",357924840075,az_warehouse,"Dell PowerEdge R720 16 x 2.5"" Server 2 x E5-2620 v2 2.10 8GB RAM - NO HDDs",100.0,USD,1,US $100.00,,,https://i.ebayimg.com/images/g/KeoAAeSwt~tpHix1/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=357924840075&txnId=10077319462603&txnDate=2025-11-21T19:22:28Z
11-13861-05380,"Nov 20, 2025",187753684159,psamuel,"Dell PowerEdge VXRail P570F 24x SFF CTO Server with 2x HS, 2x PSUs ***Grade B",199.99,USD,1,US $199.99,,,https://i.ebayimg.com/images/g/RBEAAeSwtNppHKC5/s-l500.jpg,https://www.ebay.com/itm/187753684159
09-13861-07014,"Nov 20, 2025",146771818283,mclean-surplus,Dell PowerEdge R730xd 2x Xeon  E5-2620 v3 2.4GHz 192GB RAM 18TB HDD NO OS,642.44,USD,1,US $642.44,,,https://i.ebayimg.com/images/g/qbYAAeSwOo5ondA-/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=146771818283&txnId=10078581381113&txnDate=2025-11-20T12:52:51Z
03-13867-88006,"Nov 19, 2025",366003250879,jbbuying,Lot of 17 512GB 500GB NVMe SSD drive SKhynix Kioxia Samsung Intel sandisk toshib,424.99,USD,1,US $424.99,,,https://i.ebayimg.com/images/g/K4MAAeSw4QFpHnBU/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=366003250879&txnId=10077279479203&txnDate=2025-11-20T03:39:41Z
19-13845-66574,"Nov 19, 2025",146974943334,3r_technology_solutions,ThinkCentre M720Q Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz-4GB RAM-1TB HDD-NO OS,65.0,USD,1,US $65.00,,,https://i.ebayimg.com/images/g/A3UAAeSwnbtpHigL/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=146974943334&txnId=10077225919419&txnDate=2025-11-20T03:27:06Z
11-13856-43577,"Nov 19, 2025",186655079283,colocation-america,Dell R720 2 x E5-2670,175.0,USD,1,US $0.00,,,https://i.ebayimg.com/images/g/D-MAAOSwv05mzMiq/s-l500.jpg,https://www.ebay.com/sch/sis.html?_nkw=Dell+R720+2+x+E5-2670&_id=186655079283&
22-13840-93807,"Nov 19, 2025",187696977700,colocation-america,Supermicx9DRL - 128G RAM - 24 x 960G SSD - 2 x Intel E5-2650,419.98,USD,1,US $256.98,,,https://i.ebayimg.com/images/g/~qIAAeSwNxZpA6oC/s-l500.jpg,https://www.ebay.com/sch/sis.html?_nkw=Supermicx9DRL+-+128G+RAM+-+24+x+960G+SSD+-+2+x+Intel+E5-2650&_id=187696977700&
15-13850-43242,"Nov 19, 2025",197863586948,load-sum,Lot of 2 - Dell K7H46 Intel X540-T2 Dual Port 10GbE Network Adapter Low Profile,30.0,USD,1,US $30.00,,,https://i.ebayimg.com/images/g/APgAAeSw~eNpF42i/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=197863586948&txnId=10077265656215&txnDate=2025-11-19T23:42:33Z
01-13870-30197,"Nov 19, 2025",205337363569,3antar,"Dell PowerEdge R530, 2x Intel Xeon E5-2609v3 @ 1.9GHz, 32GB RAM, No HDD, No O/S",120.0,USD,1,US $0.00,,,https://i.ebayimg.com/images/g/G1IAAOSwXyJnx14X/s-l500.jpg,https://www.ebay.com/sch/sis.html?_nkw=Dell+PowerEdge+R530%2C+2x+Intel+Xeon+E5-2609v3+%40+1.9GHz%2C+32GB+RAM%2C+No+HDD%2C+No+O%2FS&_id=205337363569&
22-13840-53695,"Nov 19, 2025",197808202632,techrecommerce,Lenovo X540-T2 10GbE RJ45 Dual Port PCIe LP Network Adapter 00JY856 49Y7972,15.0,USD,1,US $0.00,,,https://i.ebayimg.com/images/g/rSQAAeSwTNNo~8wA/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=197808202632&txnId=10076642789222&txnDate=2025-11-19T22:40:51Z
04-13865-53757,"Nov 19, 2025",177571358907,reuseitjax,"DELL INSPIRON 3670 i7-8700 @ 3.2GHz, 8GB RAM, NO HDD/OS",140.0,USD,1,US $0.00,,,https://i.ebayimg.com/images/g/5UMAAeSwU61pFQVR/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=177571358907&txnId=10076964323704&txnDate=2025-11-19T22:02:48Z
26-13833-99671,"Nov 19, 2025",176153790876,digitalmind2000,Dell Precision 3630 MT Tower 3.20GHz 6C I7-8700 512GB NVMe No RAM/ OS,199.98,USD,1,US $199.98,,,https://i.ebayimg.com/images/g/kwcAAOSwcfxl8FrW/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=176153790876&txnId=10076212568026&txnDate=2025-11-19T18:41:08Z
27-13832-50941,"Nov 19, 2025",297770563600,an825881,HP Z2 Tower G4 Workstation i7-8700 3.2GHz 16GB RAM 1TB SSD Win11,230.36,USD,1,US $230.36,,,https://i.ebayimg.com/images/g/IfkAAeSwEm9pG47f/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=297770563600&txnId=10080564854527&txnDate=2025-11-19T17:30:42Z
12-13853-11093,"Nov 19, 2025",277513534363,blindcenternv,Dell EMC PowerEdge R340 Single Intel Xeon E-2146G 32GB RAM No HDD 2x 350W PSU,240.0,USD,1,US $240.00,,,https://i.ebayimg.com/images/g/rboAAeSwh9RpG2nu/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=277513534363&txnId=10077302316212&txnDate=2025-11-19T16:50:00Z
10-13853-48796,"Nov 18, 2025",397285390375,pcsitvoice,Mid Tier Gaming Computer i7-8700 32GB Ram 2666 MHz EVGA GTX 1660,249.99,USD,1,US $249.99,,,https://i.ebayimg.com/images/g/OQsAAeSwfjBpHG9N/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=397285390375&txnId=10077274026510&txnDate=2025-11-19T03:14:42Z
07-13855-93732,"Nov 18, 2025",127382786425,gwzcomps,SAS B Backplane Cable P744P for Dell PowerEdge R510 R515 8 LFF Bay Server,14.89,USD,1,US $25.33,,,https://i.ebayimg.com/images/g/cLUAAeSwdgFozi7p/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=127382786425&txnId=10081459783307&txnDate=2025-11-18T18:13:07Z
07-13855-93732,"Nov 18, 2025",126347720881,gwzcomps,SAS A Backplane Cable Y673P for Dell PowerEdge R510 R515 8 LFF Bay Server,10.44,USD,1,US $25.33,,,https://i.ebayimg.com/images/g/aYIAAOSw9xtl2sbb/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=126347720881&txnId=10081459783407&txnDate=2025-11-18T18:13:07Z
26-13825-57671,"Nov 17, 2025",187738619432,surplusspectra,Dell OptiPlex 5070 SFF i5 9500 3.0GHz 8GB 1.9TB Win11 Pro PC,98.39,USD,1,US $98.39,,9436250206217000155967,https://i.ebayimg.com/images/g/AEUAAeSwXWdpFh~v/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10076165299126&itemid=187738619432
23-13829-06269,"Nov 17, 2025",127058597097,aplera,Genuine Dell/Intel X540-T2 Dual Port 10GbE Converged Network Adapter 3DFV8 Both,29.99,USD,1,US $29.99,,,https://i.ebayimg.com/images/g/aNEAAOSwVapoAEdw/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=127058597097&txnId=10076538273723&txnDate=2025-11-17T18:58:19Z
14-13833-44488,"Nov 15, 2025",325365211761,proramit,"Lot (24) Original Dell 2.5"" KG7NR G176J SATA SAS HDD Tray Caddy for R720 R620",79.0,USD,1,US $79.00,,,https://i.ebayimg.com/images/g/J8EAAOSwvSJhsAmz/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=325365211761&txnId=10077145638714&txnDate=2025-11-16T00:45:12Z
07-13839-80100,"Nov 14, 2025",177577591528,friendlyearth206,Dell NVIDIA GeForce RTX 2060 6GB GDDR6 Graphics Card  *SE,100.0,USD,1,US $100.00,,,https://i.ebayimg.com/images/g/yfMAAeSwRFppFnkt/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=177577591528&txnId=10081366617807&txnDate=2025-11-15T03:29:28Z
17-13825-52441,"Nov 14, 2025",357879644929,az_warehouse,Skytech Global Wireless Keyboard and Mouse Combo with 2.4G USB for PC/Mac US,80.0,USD,10,US $80.00,,,https://i.ebayimg.com/images/g/CGQAAeSwr6FpEIu7/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=357879644929&txnId=10077123881417&txnDate=2025-11-15T02:37:56Z
10-13835-23667,"Nov 14, 2025",116879135861,wazno,AMD Radeon RX 6500 XT 4GB GDDR6 Graphics Card (GV-R65XTEAGLE-4GD),80.99,USD,1,US $80.99,,,https://i.ebayimg.com/images/g/GMQAAeSwumhpF3B0/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=116879135861&txnId=10077159014210&txnDate=2025-11-15T02:27:49Z
09-13836-11750,"Nov 14, 2025",136742057529,3r_technology_solutions,ThinkPad T14s Gen 1-Intel Core(TM) i5-10310U- 1.70GHz-16GB RAM-500GB NVMe-NO OS,125.0,USD,1,US $125.00,,,https://i.ebayimg.com/images/g/vzsAAeSw5q1pFk~t/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=136742057529&txnId=10076247246009&txnDate=2025-11-14T23:23:05Z
12-13832-20578,"Nov 14, 2025",136742050014,3r_technology_solutions,ThinkPad T14s Gen 1-Intel Core(TM) i5-10310U- 1.70GHz-16GB RAM-500GB NVMe-NO OS,115.0,USD,1,US $115.00,,,https://i.ebayimg.com/images/g/sJ0AAeSwmr1pFk15/s-l500.jpg,https://www.ebay.com/sl/list?mode=SellLikeItem&itemId=136742050014&txnId=10077171022212&txnDate=2025-11-14T23:22:55Z
