OrderNumber,OrderDate,ItemID,Seller,ItemName,ItemPrice,Currency,Quantity,OrderTotal,OrderNotes,TrackingNumber,Image URL,View Order Detail
02-14069-06009,"Jan 04, 2026",357573552464,caresource,Lot of 14 - Intel Xeon E5-2680v4 2.40GHz,167.71,USD,1,US $167.71,,9434608106245690235586,https://i.ebayimg.com/images/g/qmUAAeSwrWRouw22/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077819605402&itemid=357573552464
07-14060-67218,"Jan 04, 2026",397459347384,lonich8837,Ubiquiti WiFiStation M2 USB WiFi Client 300 Mbps MU-MIMO Black - Lot of 2-TESTED,13.47,USD,1,US $13.47,,9434608106245681563971,https://i.ebayimg.com/images/g/qDUAAeSwRL1pWViI/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10082626151507&itemid=397459347384
24-14049-27594,"Jan 03, 2026",168021134538,karlo808,Computer accessories lot,60.0,USD,1,US $60.00,,9434608106244656360300,https://i.ebayimg.com/images/g/GTYAAeSwFDlpSGMw/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077512082724&itemid=168021134538
10-14054-07467,"Jan 03, 2026",358065410666,az_warehouse,LOT OF 90 Cat 6 UTP Booted  10ft Ethernet Network Booted Cable- Blue,87.99,USD,1,US $87.99,,397406400928,https://i.ebayimg.com/images/g/9kQAAeSwjqtpUwDA/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10078515040910&itemid=358065410666
10-14054-07034,"Jan 03, 2026",297770543268,ocdepot,TP-Link Archer T2U Nano AC600 Wireless Wi-Fi 2.4/5GHz USB Adapter Lot of 5 NEW,49.99,USD,1,US $49.99,,447214899513,https://i.ebayimg.com/images/g/grAAAeSwBgdpG44l/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10078515014010&itemid=297770543268
03-14063-97752,"Jan 03, 2026",358065772015,az_warehouse,Lot of 9 StarTech AC1200 Dual-Band PCIe Wireless Network Adapter PEX867WAC22 LP,36.95,USD,1,US $36.95,,397406833313,https://i.ebayimg.com/images/g/avIAAeSw5V9pUygS/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10078397347803&itemid=358065772015
03-14063-95222,"Jan 03, 2026",358073669763,az_warehouse,DELL LATITUDE 7300 Intel Core i7-8665U @ 1.90GHZ 8GB RAM - No Storage,92.39,USD,1,US $92.39,,397406833313,https://i.ebayimg.com/images/g/WvQAAeSwp6NpT0jc/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10078397188503&itemid=358073669763
10-14054-02535,"Jan 03, 2026",358077491932,az_warehouse,Dell Precision 3540 Core i5-8365U @ 1.60GHz 16GB RAM 512GB SSD Windows 11 Pro,119.67,USD,1,US $119.67,,397406833313,https://i.ebayimg.com/images/g/1GAAAeSw5V9pWCuz/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10078514738710&itemid=358077491932
05-14061-50126,"Jan 03, 2026",374670814468,minnesotacomputers,Dell PowerEdge R730 Server CPU Cooler Heatsink Dell P/N: 0YY2R8 Tested Working,10.99,USD,1,US $10.99,,1ZH4F5120311554629,https://i.ebayimg.com/images/g/2j4AAOSwH31kUDge/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077735790405&itemid=374670814468
03-14063-71108,"Jan 03, 2026",277585915452,cpe2002,FREE (ALMOST!) - 4 x Dell PowerEdge R-series SAS/SATA HDD Caddies,6.22,USD,1,US $6.22,,9449008106245679019855,https://i.ebayimg.com/images/g/7ywAAeSwL59pQ~su/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10078395789303&itemid=277585915452
22-14036-98923,"Jan 03, 2026",306641309573,aventis_systems,Dell PowerEdge 2U Ready Sliding Rails - B6 (H4X6X),39.99,USD,1,US $39.99,,1ZXH64670335891641,https://i.ebayimg.com/images/g/jWoAAeSw2W9pKgU9/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077761644322&itemid=306641309573
19-14037-54144,"Jan 02, 2026",397456154955,broncos,"DELL Precision 3630 i7 8700 3.2Ghz 8th Gen Computer w/512GB M2 SSD,16GB Ram",220.0,USD,1,US $220.00,,1ZV757840399864529,https://i.ebayimg.com/images/g/8XwAAeSwKuppV~ud/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10078459213915&itemid=397456154955
09-14051-41264,"Jan 02, 2026",306664660134,sabercat24,(LOT OF 10) Genuine HP Power AC Adapter TPC-LA58 TPC-CA58 65W Laptop Charger,38.0,USD,1,US $38.00,,9434608106244656038889,https://i.ebayimg.com/images/g/Zt4AAeSwYkRpRIMD/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077475103009&itemid=306664660134
18-14035-92129,"Jan 02, 2026",297871272118,satisfying-products,Dell XPS 8930 Tower i7-9700 3.0GHz 32GB RAM 1TB NVMe Nvidia RTX 2070 8GB VRAM,400.0,USD,1,US $400.00,,,https://i.ebayimg.com/images/g/gh4AAeSwAStpSutG/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=297871272118&transaction_id=10081442412618
25-14025-58195,"Jan 02, 2026",187830022466,surplusspectra,Kensington SD5300T Thunderbolt 3 Dock,60.0,USD,5,US $60.00,,9434650206217151690379,https://i.ebayimg.com/images/g/MGIAAeSwvBtpOYoX/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077297364925&itemid=187830022466
26-14023-22198,"Jan 01, 2026",168024754129,montg-1013,Lot Of 5 Brand New Dell USB Powered Computer Speakers AX210 Multimedia PC 042DJY,40.99,USD,1,US $40.99,,,https://i.ebayimg.com/images/g/rVsAAeSw5jppSfRJ/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=168024754129&transaction_id=10077290537226
27-14022-00432,"Jan 01, 2026",358005578167,az_warehouse,[LOT of 8] Skytech Global Wireless Keyboard with 2.4G USB for PC/Mac US,28.9,USD,1,US $28.90,,,https://i.ebayimg.com/images/g/~wMAAeSwae5pOjT~/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=358005578167&transaction_id=10081644151427
24-14040-76847,"Jan 01, 2026",187830023982,surplusspectra,Kensington SD4100v USB 3.0 Dual 4k Docking Station,15.0,USD,1,US $15.00,,9434650106151008240762,https://i.ebayimg.com/images/g/ClgAAeSwAiBpOYpP/s-l500.jpg,https://www.ebay.com/ship/trk/tracking-details?transid=10077463722324&itemid=187830023982
15-14037-98698,"Jan 01, 2026",358073669763,az_warehouse,DELL LATITUDE 7300 Intel Core i7-8665U @ 1.90GHZ 8GB RAM - No Storage,90.0,USD,1,US $90.00,,,https://i.ebayimg.com/images/g/WvQAAeSwp6NpT0jc/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=358073669763&transaction_id=10078428429315
27-14021-35560,"Jan 01, 2026",358070845675,az_warehouse,"Lenovo T590 i7-8565U 15.6"" Laptop 256GB SSD 16GB RAM Windows 11 Pro",133.87,USD,1,US $133.87,,,https://i.ebayimg.com/images/g/E3YAAeSwdBxpVVcK/s-l500.jpg,https://www.ebay.com/fdbk/leave_single_feedback?item_id=358070845675&transaction_id=10081640320727
