Tracking #,Item Title,Promise Date,Product ASIN,Carrier,Units
1001017212,Kindle Paperwhite 11th Gen,2025-12-13,B0Q0XE6EMK,DHL,3
2718880044,Ninja Air Fryer Max XL,2025-12-18,B0LE0TBNAM,DHL,3
TBA749902367382,Dyson V15 Detect Vacuum,2025-12-18,B0B8XUUOTX,Amazon,1
SR5ODMXVUZTPQ42,Samsung Galaxy S23 Ultra Case,2025-11-30,B0U79I1385,OnTrac,3
TBA137469993964,Ring Video Doorbell Pro 2,2025-11-26,B06L4J7359,Amazon,1
1994612029,Sony WH-1000XM5 Headphones,2025-12-19,,DHL,1
TBA268415944609,Sony WH-1000XM5 Headphones,2025-12-15,B058RIYATY,Amazon,2
9400146431406547890583,Ring Video Doorbell Pro 2,2025-12-07,,USPS,1
BT4SIXM9CYGUF5V,JBL Flip 6 Portable Speaker,2025-12-02,B03HHEF4UF,OnTrac,3
TBA195407723416,Ninja Air Fryer Max XL,2026-01-09,B08610BBCY,Amazon,3
9200997643556104772486,Fitbit Charge 5 Fitness Tracker,2025-12-25,B0YAZRIMZ2,USPS,2
9400226852136129405785,Vitamix E310 Blender,2026-01-09,,USPS,1
1661679709,GoPro HERO11 Black,2025-11-30,B0KQTJWAAV,DHL,2
7854057302,DJI Mini 3 Pro Drone,2026-01-01,,DHL,1
9200755914377748373963,Dyson V15 Detect Vacuum,2025-12-04,B0W5L5PYQ4,USPS,3
1ZIDYHRG5541920324,Bose QuietComfort Earbuds II,2025-12-08,,UPS,3
6732810477,Echo Dot (5th Gen) Smart Speaker,2025-12-07,B01Z18IXYS,DHL,3
3C6ZNUH7UPONPMM,Fitbit Charge 5 Fitness Tracker,2025-11-30,,OnTrac,1
9400749347606910903664,JBL Flip 6 Portable Speaker,2026-01-11,,USPS,3
1ZNY4R326846454575,Ring Video Doorbell Pro 2,2025-12-12,,UPS,1
1ZO9ZE2Q7608700613,Ring Video Doorbell Pro 2,2025-12-12,B0NUHTTFCK,UPS,1
1Z3NAAUR1476165814,Anker USB-C Charger 65W,2026-01-21,,UPS,3
2P043KZ043OOSI9,GoPro HERO11 Black,2026-01-02,,OnTrac,3
7035565973,Anker USB-C Charger 65W,2025-12-26,B0F27FEXT5,DHL,3
0802804352,Ring Video Doorbell Pro 2,2025-11-30,B0VORTXECI,DHL,3
877409744177505,Anker USB-C Charger 65W,2026-01-02,B0W9VS3PKR,FedEx,3
045292964637223,Ninja Air Fryer Max XL,2026-01-12,B0C866A80O,FedEx,2
75SSBS7ZE4VYSH3,Echo Dot (5th Gen) Smart Speaker,2026-01-10,B0DLJ6V81A,OnTrac,3
477645587943737,Vitamix E310 Blender,2025-12-23,B0DTM2ASXV,FedEx,1
326576047158604,Fitbit Charge 5 Fitness Tracker,2026-01-11,B0ZPBFSLLH,FedEx,2
9400477245658069568676,Logitech MX Master 3S Mouse,2026-01-20,,USPS,1
9322527468,iRobot Roomba j7+,2025-12-25,B0ZWCCFMIC,DHL,2
50XVB0MCT5VGFX8,Instant Pot Duo 7-in-1,2025-12-12,B0SG6IDZ00,OnTrac,3
V5IXZNHSIP6TSE8,Apple AirPods Pro (2nd Generation),2025-12-11,,OnTrac,2
246838357369205,JBL Flip 6 Portable Speaker,2026-01-18,,FedEx,1
0567951540,Samsung Galaxy S23 Ultra Case,2025-12-28,,DHL,1
2369249653,Vitamix E310 Blender,2026-01-19,B0NKQH5TE3,DHL,3
TBA389990947871,Sony WH-1000XM5 Headphones,2026-01-04,B0U6GT100P,Amazon,2
2283058067,Ninja Air Fryer Max XL,2025-12-27,B0BXA7MUT9,DHL,1
115759193368363,JBL Flip 6 Portable Speaker,2026-01-18,,FedEx,3
TBA346402181723,Logitech MX Master 3S Mouse,2025-12-28,B09I6LIX9P,Amazon,2
1ZN39QJ69082433748,GoPro HERO11 Black,2025-12-20,B0IJLKMWB4,UPS,3
TBA595268833693,Dyson V15 Detect Vacuum,2026-01-20,B01E77IIH7,Amazon,3
9407052251324009580081,Samsung Galaxy S23 Ultra Case,2026-01-16,B01310XYOB,USPS,1
1ZFV8XY01706294403,Bose QuietComfort Earbuds II,2026-01-21,B0PDC4WH6M,UPS,1
9400510267066005170747,Fitbit Charge 5 Fitness Tracker,2025-12-25,,USPS,2
MM4XDVGDSJ4901C,Anker USB-C Charger 65W,2025-12-23,,OnTrac,2
1ZD2X23X8283323163,JBL Flip 6 Portable Speaker,2025-12-07,,UPS,3
TBA648418918911,Instant Pot Duo 7-in-1,2026-01-20,B0DJ75KI5W,Amazon,3
TBA977138399348,Ring Video Doorbell Pro 2,2025-12-29,B0WQ74UNLK,Amazon,2
3765123894,Logitech MX Master 3S Mouse,2026-01-08,,DHL,1
9200843182890886379621,Fitbit Charge 5 Fitness Tracker,2026-01-13,B0E7PLJQ7C,USPS,2
TBA414482091788,GoPro HERO11 Black,2025-12-12,B00ND2O0X7,Amazon,2
TBA420904880831,JBL Flip 6 Portable Speaker,2025-11-26,,Amazon,2
9240285362,Samsung Galaxy S23 Ultra Case,2026-01-19,B0R830DESU,DHL,1
9200889752715003282992,Anker USB-C Charger 65W,2026-01-09,B0DXK3377P,USPS,3
9261052504464500843474,Anker USB-C Charger 65W,2025-12-26,B0RC6LLFBR,USPS,3
G3T08KPZHJRU5VQ,Dyson V15 Detect Vacuum,2025-12-14,B0ERDC48LO,OnTrac,3
638885582813425,Echo Dot (5th Gen) Smart Speaker,2026-01-01,B0GV00QU73,FedEx,1
1ZV5OZ9Y8325931376,Bose QuietComfort Earbuds II,2025-12-26,,UPS,2
4828121042,Bose QuietComfort Earbuds II,2025-12-07,B024T7BJ0Q,DHL,3
2829532592,Samsung Galaxy S23 Ultra Case,2025-12-28,,DHL,1
9407661816197717596218,Samsung Galaxy S23 Ultra Case,2025-12-20,B0099E6TFA,USPS,1
1Z50WLA67921386849,Anker USB-C Charger 65W,2026-01-12,,UPS,2
9261746956052979088747,JBL Flip 6 Portable Speaker,2025-12-09,,USPS,3
418142647050,Fitbit Charge 5 Fitness Tracker,2025-12-28,B0H7OZX7RC,FedEx,2
TBA756612910602,Bose QuietComfort Earbuds II,2025-12-13,B08YW6D3H3,Amazon,2
TBA080213541620,Logitech MX Master 3S Mouse,2025-12-03,,Amazon,1
553600919672110,GoPro HERO11 Black,2025-12-22,B0DCLLK4G4,FedEx,1
384355373258,Fitbit Charge 5 Fitness Tracker,2025-12-22,B0O6KIXDGK,FedEx,2
9200949179692433523614,Sony WH-1000XM5 Headphones,2026-01-08,B0DP9OTDV3,USPS,2
9135387067,iRobot Roomba j7+,2025-12-02,B00J7PNQH0,DHL,2
024177463351864,Nintendo Switch OLED Controller,2025-12-27,B0YGOEAG8B,FedEx,2
1ZRHV5PE1810768922,Fire TV Stick 4K Max,2025-11-28,B0UFCY2ZIR,UPS,1
639053817453,Sony WH-1000XM5 Headphones,2025-12-03,B0IN6U8R0V,FedEx,2
TBA469294064747,Instant Pot Duo 7-in-1,2026-01-07,,Amazon,3
TBA530922242965,GoPro HERO11 Black,2025-12-08,,Amazon,1
6B6IDOW0LRSWXW7,DJI Mini 3 Pro Drone,2025-12-16,B0UXOQQKL9,OnTrac,2
UU76FW2J6XN9YMG,DJI Mini 3 Pro Drone,2026-01-08,,OnTrac,3
1ZP6DKWC9147131567,Echo Dot (5th Gen) Smart Speaker,2025-11-27,B0XGAPCFS6,UPS,1
TBA128253936522,Apple AirPods Pro (2nd Generation),2026-01-02,B059ASNUH2,Amazon,1
1036174672,Fitbit Charge 5 Fitness Tracker,2025-12-25,B0UDUHAU98,DHL,3
TBA697897037919,Vitamix E310 Blender,2026-01-14,,Amazon,3
9400445026878485438589,Bose QuietComfort Earbuds II,2025-12-17,B0UAOSJP82,USPS,3
9400725863222029004588,Anker USB-C Charger 65W,2026-01-14,,USPS,3
9407158862204142414491,Echo Dot (5th Gen) Smart Speaker,2025-12-05,B0PTVGDWEU,USPS,2
9407003283525035436126,Fire TV Stick 4K Max,2025-12-31,,USPS,1
1Z4EBUP19315771498,DJI Mini 3 Pro Drone,2026-01-16,,UPS,2
1ZC56EW26858027050,Dyson V15 Detect Vacuum,2025-12-14,,UPS,2
9400589797814523072169,Apple AirPods Pro (2nd Generation),2025-12-21,,USPS,3
926847482945098,Ring Video Doorbell Pro 2,2026-01-06,,FedEx,3
9400820256378047097420,Instant Pot Duo 7-in-1,2026-01-03,,USPS,1
9400055731859262630500,Instant Pot Duo 7-in-1,2026-01-03,B000JW8HUD,USPS,2
1ZXS3NIH3674698466,Apple AirPods Pro (2nd Generation),2026-01-12,,UPS,1
2175275036,Logitech MX Master 3S Mouse,2025-12-13,B0VT2NQGE8,DHL,2
9407115226080831701193,DJI Mini 3 Pro Drone,2026-01-17,,USPS,1
088476119434050,iRobot Roomba j7+,2025-12-17,B0A6X5DRYU,FedEx,1
6QE9M7SNMTADSWJ,JBL Flip 6 Portable Speaker,2025-11-24,B0O2CSCNHJ,OnTrac,2
877329858868,Fire TV Stick 4K Max,2025-12-08,B038QL3JNH,FedEx,2
7093237659,Bose QuietComfort Earbuds II,2025-11-29,,DHL,1
1862868469,Kindle Paperwhite 11th Gen,2025-11-26,,DHL,3
361FFX27SF9RJNC,GoPro HERO11 Black,2025-12-27,B0P0OTJ0WQ,OnTrac,1
555424359272,Fire TV Stick 4K Max,2025-12-27,B0ZHNUQKE0,FedEx,3
UMWUQTS8OR3HU4Z,Logitech MX Master 3S Mouse,2025-12-14,B05N2JLPZ0,OnTrac,1
312622321728536,Kindle Paperwhite 11th Gen,2025-12-10,,FedEx,3
9261074772003049147105,Anker USB-C Charger 65W,2025-11-23,B0GBJZ15QI,USPS,3
759483419400,Ring Video Doorbell Pro 2,2025-12-02,B0EAIYUDAL,FedEx,3
1Z827G9D7330520628,JBL Flip 6 Portable Speaker,2026-01-08,B0LEXDDYT8,UPS,1
TBA689106491518,Dyson V15 Detect Vacuum,2025-12-17,,Amazon,1
O9W8B7DIZ342CFM,Logitech MX Master 3S Mouse,2025-12-15,B0XWZEWVNQ,OnTrac,2
1ZZM9UR66722643912,Nintendo Switch OLED Controller,2025-12-19,,UPS,2
ZQBXNYT77MNQ0NP,Logitech MX Master 3S Mouse,2025-12-31,B0GH6YY8U2,OnTrac,2
1ZZPHJA92520970813,GoPro HERO11 Black,2025-12-25,B0GNH23S2J,UPS,1
247420571564319,Fitbit Charge 5 Fitness Tracker,2026-01-14,B0RRX8RN6D,FedEx,2
3947921696,Nintendo Switch OLED Controller,2025-12-28,,DHL,3
9407313508379760972035,JBL Flip 6 Portable Speaker,2026-01-03,B0AC78YOGG,USPS,3
9261040016668865451594,Kindle Paperwhite 11th Gen,2025-12-04,B08SMJINCA,USPS,2
3848569847,Ninja Air Fryer Max XL,2026-01-13,B0MF83G4EM,DHL,3
TBA341338636963,Apple AirPods Pro (2nd Generation),2026-01-08,B0WZDH6UDR,Amazon,2
TBA422615072566,Ring Video Doorbell Pro 2,2026-01-02,B0K6UE11GZ,Amazon,2
Z45GLXF61CIF0W0,Sony WH-1000XM5 Headphones,2026-01-21,B0R1L6KX5P,OnTrac,3
277055208694,Anker USB-C Charger 65W,2025-12-24,B022DUYYV9,FedEx,1
6957168224,Ring Video Doorbell Pro 2,2026-01-02,B05NY3L2WF,DHL,2
TBA167508397367,Samsung Galaxy S23 Ultra Case,2025-11-22,B0WNVLR61W,Amazon,1
TBA342748979271,Logitech MX Master 3S Mouse,2025-12-08,B0EZ5ECBL5,Amazon,1
VO96D4XEU1OETQP,Anker USB-C Charger 65W,2026-01-04,,OnTrac,1
9400455679890643176190,Vitamix E310 Blender,2026-01-04,B0ZHRT52TY,USPS,2
0215679005,Bose QuietComfort Earbuds II,2025-12-23,,DHL,2
9200476871690872558082,Nintendo Switch OLED Controller,2025-12-03,,USPS,3
TBA067045145719,DJI Mini 3 Pro Drone,2025-12-04,B0RTR6ZVGB,Amazon,1
9W1DTWV51F2PW4Z,Ninja Air Fryer Max XL,2026-01-16,B0I4ZP2FEN,OnTrac,3
3769986289,Fire TV Stick 4K Max,2025-12-19,B0UW6GRYDE,DHL,2
1606467885,iRobot Roomba j7+,2026-01-04,B0XYWGC0YN,DHL,1
9400087844595161945044,GoPro HERO11 Black,2026-01-21,,USPS,1
9407024876576964215510,Kindle Paperwhite 11th Gen,2025-12-31,B03T8NTL9A,USPS,2
7705724043,Ninja Air Fryer Max XL,2026-01-17,B0DZCH6TW5,DHL,1
676661861974333,Ninja Air Fryer Max XL,2026-01-13,B0LXMTF3B4,FedEx,2
9400856393991282744295,Bose QuietComfort Earbuds II,2026-01-10,B0U1EXZGGZ,USPS,1
TBA867412328950,JBL Flip 6 Portable Speaker,2025-11-22,B0QA9MKRJL,Amazon,2
1ZUXICVL5360615737,Samsung Galaxy S23 Ultra Case,2025-11-24,B0V6YWGIL4,UPS,2
1ZMSXQXE7716307305,GoPro HERO11 Black,2026-01-03,,UPS,1
631682317087842,Nintendo Switch OLED Controller,2025-11-28,,FedEx,3
449106596822,Instant Pot Duo 7-in-1,2025-12-03,B08564AT5Q,FedEx,3
708778868454627,Fire TV Stick 4K Max,2025-12-09,B0DKIBEC1F,FedEx,2
INCL44411GXF38T,DJI Mini 3 Pro Drone,2026-01-05,B0DJLAXSQH,OnTrac,2
